"fixed acidity";"volatile acidity";"citric acid";"residual sugar";"chlorides";"free sulfur dioxide";"total sulfur dioxide";"density";"pH";"sulphates";"alcohol";"quality"
7.2;0.22;0.24;1.4;0.041;17;159;0.99196;3.25;0.53;11.2;6
6.7;0.5;0.38;7.5;0.046;26;175;0.99662;3.32;0.54;9.6;5
6.2;0.33;0.14;4.8;0.052;27;128;0.99475;3.21;0.48;9.4;5
6.3;0.26;0.42;7.1;0.045;62;209;0.99544;3.2;0.53;9.5;6
7.5;0.2;0.47;16.9;0.052;51;188;0.99944;3.09;0.62;9.3;5
6.2;0.33;0.14;4.8;0.052;27;128;0.99475;3.21;0.48;9.4;5
6.3;0.26;0.42;7.1;0.045;62;209;0.99544;3.2;0.53;9.5;6
6.6;0.36;0.52;11.3;0.046;8;110;0.9966;3.07;0.46;9.4;5
6.3;0.13;0.42;1.1;0.043;63;146;0.99066;3.13;0.72;11.2;7
6.4;0.15;0.44;1.2;0.043;67;150;0.9907;3.14;0.73;11.2;7
6.3;0.13;0.42;1.1;0.043;63;146;0.99066;3.13;0.72;11.2;7
7.6;0.23;0.64;12.9;0.033;54;170;0.998;3;0.53;8.8;5
6.4;0.15;0.44;1.2;0.043;67;150;0.9907;3.14;0.73;11.2;7
6.3;0.13;0.42;1.1;0.043;63;146;0.99066;3.13;0.72;11.2;7
5.7;0.255;0.65;1.2;0.079;17;137;0.99307;3.2;0.42;9.4;5
6.9;0.32;0.26;2.3;0.03;11;103;0.99106;3.06;0.42;11.1;6
6.9;0.28;0.22;10;0.052;36;131;0.99696;3.08;0.46;9.6;5
6.9;0.32;0.26;2.3;0.03;11;103;0.99106;3.06;0.42;11.1;6
5.7;0.255;0.65;1.2;0.079;17;137;0.99307;3.2;0.42;9.4;5
6.6;0.41;0.16;1.4;0.037;28;160;0.99167;2.95;0.45;10.6;6
7.3;0.37;0.16;14.9;0.048;59;240;0.99902;3.13;0.45;8.9;5
6.9;0.21;0.24;1.8;0.021;17;80;0.98992;3.15;0.46;12.3;7
6.6;0.24;0.28;1.8;0.028;39;132;0.99182;3.34;0.46;11.4;5
6.8;0.28;0.36;7;0.043;60;207;0.99556;3.16;0.49;9.6;6
6.6;0.24;0.24;8.6;0.034;25;135;0.99582;3.33;0.59;10.3;6
6.6;0.24;0.28;1.8;0.028;39;132;0.99182;3.34;0.46;11.4;5
7;0.16;0.32;1.1;0.032;29;80;0.98972;3.23;0.36;12.1;6
7;0.14;0.28;1.3;0.026;10;56;0.99352;3.46;0.45;9.9;5
6.3;0.34;0.36;4.9;0.035;31;185;0.9946;3.15;0.49;9.7;5
6.8;0.26;0.24;1.9;0.043;70;154;0.99273;3.18;0.52;10.5;5
6.7;0.17;0.42;10.4;0.038;85;182;0.99628;3.04;0.44;8.9;6
6.5;0.27;0.4;10;0.039;74;227;0.99582;3.18;0.5;9.4;5
6.7;0.25;0.36;8.6;0.037;63;206;0.99553;3.18;0.5;9.6;5
5.8;0.3;0.27;1.7;0.014;45;104;0.98914;3.4;0.56;12.6;7
6.4;0.28;0.56;1.7;0.156;49;106;0.99354;3.1;0.37;9.2;6
7.7;0.3;0.26;18.95;0.053;36;174;0.99976;3.2;0.5;10.4;5
6.8;0.18;0.3;12.8;0.062;19;171;0.99808;3;0.52;9;7
6.8;0.18;0.3;12.8;0.062;19;171;0.99808;3;0.52;9;7
6.8;0.18;0.3;12.8;0.062;19;171;0.99808;3;0.52;9;7
6.8;0.18;0.3;12.8;0.062;19;171;0.99808;3;0.52;9;7
6.8;0.18;0.3;12.8;0.062;19;171;0.99808;3;0.52;9;7
6.8;0.18;0.3;12.8;0.062;19;171;0.99808;3;0.52;9;7
5.1;0.14;0.25;0.7;0.039;15;89;0.9919;3.22;0.43;9.2;6
6.8;0.18;0.3;12.8;0.062;19;171;0.99808;3;0.52;9;7
7.2;0.615;0.1;1.4;0.068;25;154;0.99499;3.2;0.48;9.7;4
6.9;0.13;0.28;13.3;0.05;47;132;0.99655;3.34;0.42;10.1;6
6.7;0.34;0.3;8.5;0.059;24;152;0.99615;3.46;0.64;11;7
7.3;0.32;0.29;1.5;0.038;32;144;0.99296;3.2;0.55;10.8;5
6.3;0.21;0.29;11.7;0.048;49;147;0.99482;3.22;0.38;10.8;5
5.4;0.5;0.13;5;0.028;12;107;0.99079;3.48;0.88;13.5;7
8.2;0.52;0.34;1.2;0.042;18;167;0.99366;3.24;0.39;10.6;5
7.8;0.28;0.31;2.1;0.046;28;208;0.99434;3.23;0.64;9.8;5
6.4;0.22;0.34;1.4;0.023;56;115;0.98958;3.18;0.7;11.7;6
7.8;0.28;0.31;2.1;0.046;28;208;0.99434;3.23;0.64;9.8;5
6.9;0.32;0.27;16;0.034;58;185;0.99938;3.34;0.6;9;6
6.8;0.11;0.42;1.1;0.042;51;132;0.99059;3.18;0.74;11.3;7
6.2;0.26;0.32;15.3;0.031;64;185;0.99835;3.31;0.61;9.4;5
6.4;0.22;0.34;1.4;0.023;56;115;0.98958;3.18;0.7;11.7;6
6.7;0.3;0.29;2.8;0.025;37;107;0.99159;3.31;0.63;11.3;7
6.7;0.3;0.29;2.8;0.025;37;107;0.99159;3.31;0.63;11.3;7
7.1;0.2;0.3;0.9;0.019;4;28;0.98931;3.2;0.36;12;6
7.2;0.2;0.36;2.5;0.028;22;157;0.9938;3.48;0.49;10.6;6
8.9;0.26;0.33;8.1;0.024;47;202;0.99558;3.13;0.46;10.8;6
7.5;0.25;0.32;8.2;0.024;53;209;0.99563;3.12;0.46;10.8;6
7.1;0.2;0.3;0.9;0.019;4;28;0.98931;3.2;0.36;12;6
6.3;0.27;0.46;11.1;0.053;44;177;0.99691;3.18;0.67;9.4;5
6.5;0.3;0.39;7.8;0.038;61;219;0.9959;3.19;0.5;9.4;5
6.7;0.3;0.29;2.8;0.025;37;107;0.99159;3.31;0.63;11.3;7
6.6;0.36;0.52;10.1;0.05;29;140;0.99628;3.07;0.4;9.4;5
6.15;0.21;0.37;3.2;0.021;20;80;0.99076;3.39;0.47;12;5
6.5;0.18;0.41;14.2;0.039;47;129;0.99678;3.28;0.72;10.3;7
6.5;0.18;0.41;14.2;0.039;47;129;0.99678;3.28;0.72;10.3;7
6.5;0.18;0.41;14.2;0.039;47;129;0.99678;3.28;0.72;10.3;7
6.6;0.26;0.21;2.9;0.026;48;126;0.99089;3.22;0.38;11.3;7
6.6;0.35;0.35;6;0.063;31;150;0.99537;3.1;0.47;9.4;6
6.5;0.28;0.28;20.4;0.041;40;144;1.0002;3.14;0.38;8.7;5
6.6;0.36;0.52;10.1;0.05;29;140;0.99628;3.07;0.4;9.4;5
6.6;0.26;0.21;2.9;0.026;48;126;0.99089;3.22;0.38;11.3;7
6.5;0.18;0.41;14.2;0.039;47;129;0.99678;3.28;0.72;10.3;7
6.15;0.21;0.37;3.2;0.021;20;80;0.99076;3.39;0.47;12;5
4.5;0.19;0.21;0.95;0.033;89;159;0.99332;3.34;0.42;8;5
8;0.24;0.26;1.7;0.033;36;136;0.99316;3.44;0.51;10.4;7
7.8;0.17;0.23;1.7;0.029;39;128;0.99272;3.37;0.41;10.7;7
7;0.24;0.24;9;0.03;42;219;0.99636;3.47;0.46;10.2;6
5.8;0.6;0;1.3;0.044;72;197;0.99202;3.56;0.43;10.9;5
5.9;0.445;0.26;1.4;0.027;23;109;0.99148;3.3;0.36;10.5;6
6.7;0.28;0.28;2.4;0.012;36;100;0.99064;3.26;0.39;11.7;7
6.8;0.44;0.2;16;0.065;61;186;0.99884;3.13;0.45;8.6;5
7.2;0.24;0.27;11.4;0.034;40;174;0.99773;3.2;0.44;9;5
8.7;0.31;0.73;14.35;0.044;27;191;1.00013;2.96;0.88;8.7;5
8.2;0.32;0.26;2.1;0.062;26;87;0.98974;3.1;0.47;12.8;6
7.2;0.24;0.27;11.4;0.034;40;174;0.99773;3.2;0.44;9;5
8.7;0.31;0.73;14.35;0.044;27;191;1.00013;2.96;0.88;8.7;5
7.5;0.13;0.38;1.1;0.023;42;104;0.99112;3.28;0.53;11.8;6
9.2;0.14;0.37;1.1;0.034;36;84;0.99136;3.05;0.55;11.6;6
7.4;0.2;0.37;1.2;0.028;28;89;0.99132;3.14;0.61;11.8;6
6.1;0.15;0.35;15.8;0.042;55;158;0.99642;3.24;0.37;10.6;5
7.6;0.23;0.4;5.2;0.066;14;91;0.99488;3.17;0.8;9.7;5
8.1;0.33;0.22;5.2;0.047;24;151;0.99527;3.22;0.47;10.3;5
7.15;0.17;0.24;9.6;0.119;56;178;0.99578;3.15;0.44;10.2;6
6.7;0.12;0.3;5.2;0.048;38;113;0.99352;3.33;0.44;10.1;7
5.7;0.18;0.36;1.2;0.046;9;71;0.99199;3.7;0.68;10.9;7
5.8;0.15;0.28;0.8;0.037;43;127;0.99198;3.24;0.51;9.3;5
6.6;0.23;0.29;14.45;0.057;29;144;0.99756;3.33;0.54;10.2;6
7.15;0.17;0.24;9.6;0.119;56;178;0.99578;3.15;0.44;10.2;6
7;0.34;0.39;6.9;0.066;43;162;0.99561;3.11;0.53;9.5;5
6.4;0.68;0.26;3.4;0.069;25;146;0.99347;3.18;0.4;9.3;5
7.3;0.22;0.31;2.3;0.018;45;80;0.98936;3.06;0.34;12.9;7
6.4;0.28;0.27;11;0.042;45;148;0.99786;3.14;0.46;8.7;5
6.9;0.4;0.22;5.95;0.081;76;303;0.99705;3.4;0.57;9.4;5
6.8;0.19;0.23;5.1;0.034;71;204;0.9942;3.23;0.69;10.1;5
7.1;0.23;0.24;5.4;0.039;60;196;0.9948;3.19;0.78;10;4
6.45;0.14;0.42;1.2;0.05;51;129;0.99116;3.27;0.69;11.1;7
6.5;0.15;0.44;12.6;0.052;65;158;0.99688;3.26;0.7;10.3;7
7.1;0.15;0.34;1;0.033;27;73;0.98974;3.24;0.41;12.2;6
6.7;0.33;0.34;6.6;0.067;35;156;0.99542;3.11;0.48;9.3;6
7.2;0.3;0.26;1.5;0.041;46;178;0.99154;3.19;0.56;11.3;6
7;0.23;0.33;1;0.043;46;110;0.99118;3.04;0.65;10.8;6
8;0.13;0.25;1.1;0.033;15;86;0.99044;2.98;0.39;11.2;8
6.2;0.21;0.34;6.6;0.03;36;91;0.9914;3.32;0.45;12.5;7
8.3;0.4;0.41;8.2;0.05;15;122;0.9979;3.39;0.49;9.3;5
5.9;0.34;0.31;2;0.03;38;142;0.98892;3.4;0.41;12.9;7
6.6;0.12;0.25;1.4;0.039;21;131;0.99114;3.2;0.45;11.2;7
9.6;0.655;0.21;2;0.039;21;120;0.99188;3;1;12.6;6
6.8;0.26;0.4;7.5;0.046;45;179;0.99583;3.2;0.49;9.3;5
5.9;0.34;0.31;2;0.03;38;142;0.98892;3.4;0.41;12.9;7
5.9;0.3;0.3;2;0.03;38;142;0.98892;3.41;0.41;12.9;7
7;0.15;0.3;13.3;0.049;46;120;0.99704;3.2;0.36;9.5;7
7.9;0.37;0.31;2.85;0.037;5;24;0.9911;3.19;0.36;11.9;6
7.2;0.35;0.25;5.6;0.032;23;120;0.99334;2.93;0.66;10.3;7
7.2;0.32;0.24;5.6;0.033;23;120;0.99334;2.92;0.66;10.3;7
7.6;0.1;0.33;1;0.031;33;93;0.99094;3.06;0.68;11.2;6
6.2;0.25;0.31;3.2;0.03;32;150;0.99014;3.18;0.31;12;6
7.1;0.31;0.17;1;0.042;21;144;0.99304;3.13;0.4;9.6;5
7.6;0.18;0.28;7.1;0.041;29;110;0.99652;3.2;0.42;9.2;6
8;0.17;0.29;2.4;0.029;52;119;0.98944;3.03;0.33;12.9;6
7.2;0.19;0.27;11.2;0.061;46;149;0.99772;2.99;0.59;9.3;6
7.6;0.32;0.25;9.5;0.03;15;136;0.99367;3.1;0.44;12.1;6
7.1;0.31;0.17;1;0.042;21;144;0.99304;3.13;0.4;9.6;5
6.6;0.21;0.29;1.8;0.026;35;128;0.99183;3.37;0.48;11.2;6
7;0.16;0.36;2.6;0.029;28;98;0.99126;3.11;0.37;11.2;7
8;0.17;0.29;2.4;0.029;52;119;0.98944;3.03;0.33;12.9;6
6.6;0.24;0.38;8;0.042;56;187;0.99577;3.21;0.46;9.2;5
7.2;0.19;0.27;11.2;0.061;46;149;0.99772;2.99;0.59;9.3;6
7.6;0.18;0.28;7.1;0.041;29;110;0.99652;3.2;0.42;9.2;6
6.9;0.3;0.25;3.3;0.041;26;124;0.99428;3.18;0.5;9.3;6
6.2;0.28;0.27;10.3;0.03;26;108;0.99388;3.2;0.36;10.7;6
6.9;0.31;0.32;1.2;0.024;20;166;0.99208;3.05;0.54;9.8;6
6.7;0.23;0.25;1.6;0.036;28;143;0.99256;3.3;0.54;10.3;6
6.2;0.28;0.27;10.3;0.03;26;108;0.99388;3.2;0.36;10.7;6
5.7;0.23;0.28;9.65;0.025;26;121;0.9925;3.28;0.38;11.3;6
6.5;0.22;0.5;16.4;0.048;36;182;0.99904;3.02;0.49;8.8;6
7;0.18;0.37;1.5;0.043;16;104;0.99216;3.18;0.5;10.8;5
6.9;0.31;0.32;1.2;0.024;20;166;0.99208;3.05;0.54;9.8;6
6.9;0.3;0.25;3.3;0.041;26;124;0.99428;3.18;0.5;9.3;6
6.5;0.46;0.31;5;0.027;15;72;0.99165;3.26;0.6;11.5;7
6.5;0.23;0.36;16.3;0.038;43;133;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43;133;0.99924;3.26;0.41;8.8;5
6.5;0.23;0.36;16.3;0.038;43;133;0.99924;3.26;0.41;8.8;5
6.6;0.26;0.38;6.5;0.17;68;201;0.9956;3.19;0.38;9.4;6
6.7;0.26;0.39;6.4;0.171;64;200;0.99562;3.19;0.38;9.4;6
7.5;0.28;0.39;10.2;0.045;59;209;0.9972;3.16;0.63;9.6;6
6.5;0.23;0.36;16.3;0.038;43;133;0.99924;3.26;0.41;8.8;5
6.8;0.23;0.42;7.4;0.044;56;189;0.9958;3.22;0.48;9.3;6
7.8;0.25;0.34;13.7;0.044;66;184;0.99976;3.22;0.75;8.9;5
7.8;0.25;0.34;13.7;0.044;66;184;0.99976;3.22;0.75;8.9;5
5.6;0.2;0.22;1.3;0.049;25;155;0.99296;3.74;0.43;10;5
6.4;0.21;0.44;7.4;0.045;47;182;0.9957;3.24;0.46;9.1;5
6.8;0.23;0.42;7.4;0.044;56;189;0.9958;3.22;0.48;9.3;6
6.8;0.24;0.37;7.45;0.043;59;188;0.99579;3.2;0.5;9.4;6
7.8;0.25;0.28;7.2;0.04;46;179;0.99541;3.14;0.6;10.1;6
7.8;0.25;0.34;13.7;0.044;66;184;0.99976;3.22;0.75;8.9;5
6.8;0.16;0.29;10.4;0.046;59;143;0.99518;3.2;0.4;10.8;6
5.2;0.28;0.29;1.1;0.028;18;69;0.99168;3.24;0.54;10;6
7.5;0.18;0.31;6.5;0.029;53;160;0.99276;3.03;0.38;10.9;6
7.5;0.26;0.3;4.6;0.027;29;92;0.99085;3.15;0.38;12;7
8.2;0.37;0.64;13.9;0.043;22;171;0.99873;2.99;0.8;9.3;5
7.6;0.4;0.27;5.2;0.03;32;101;0.99172;3.22;0.62;12.3;7
7.5;0.26;0.25;1.7;0.038;29;129;0.99312;3.45;0.56;10.4;6
7.5;0.18;0.31;6.5;0.029;53;160;0.99276;3.03;0.38;10.9;6
6.9;0.23;0.32;16.4;0.045;62;153;0.9972;3.22;0.42;10.5;5
5.3;0.2;0.31;3.6;0.036;22;91;0.99278;3.41;0.5;9.8;6
6.5;0.17;0.31;1.5;0.041;34;121;0.99092;3.06;0.46;10.5;6
6.5;0.35;0.28;12.4;0.051;86;213;0.9962;3.16;0.51;9.9;6
6.5;0.29;0.31;1.7;0.035;24;79;0.99053;3.27;0.69;11.4;7
6.8;0.3;0.22;6.2;0.06;41;190;0.99858;3.18;0.51;9.2;5
7.9;0.51;0.36;6.2;0.051;30;173;0.9984;3.09;0.53;9.7;5
7.9;0.51;0.34;2.6;0.049;13;135;0.99335;3.09;0.51;10;5
6.5;0.29;0.31;1.7;0.035;24;79;0.99053;3.27;0.69;11.4;7
7.1;0.29;0.28;9.3;0.048;50;141;0.9949;3.13;0.49;10.3;6
6.5;0.35;0.28;12.4;0.051;86;213;0.9962;3.16;0.51;9.9;6
6.5;0.17;0.31;1.5;0.041;34;121;0.99092;3.06;0.46;10.5;6
7.4;0.2;0.28;9.1;0.047;29;95;0.99532;3.16;0.47;9.8;7
6.9;0.615;0.42;12;0.067;24;131;0.99727;3.19;0.34;9.3;5
6.8;0.32;0.28;4.8;0.034;25;100;0.99026;3.08;0.47;12.4;7
6.3;0.2;0.19;12.3;0.048;54;145;0.99668;3.16;0.42;9.3;6
6.9;0.615;0.42;12;0.067;24;131;0.99727;3.19;0.34;9.3;5
8;0.23;0.28;2.7;0.048;49;165;0.9952;3.26;0.72;9.5;6
6.7;0.27;0.33;3.6;0.034;9;45;0.99144;3.08;0.4;10.5;6
6.7;0.27;0.33;3.6;0.034;9;45;0.99144;3.08;0.4;10.5;6
6.7;0.44;0.22;4.3;0.032;19;99;0.99015;3.26;0.53;12.8;7
7;0.34;0.3;1.8;0.045;44;142;0.9914;2.99;0.45;10.8;6
7.3;0.26;0.33;11.8;0.057;48;127;0.99693;3.1;0.55;10;6
5.8;0.17;0.34;1.8;0.045;96;170;0.99035;3.38;0.9;11.8;8
7.3;0.26;0.33;11.8;0.057;48;127;0.99693;3.1;0.55;10;6
5.8;0.17;0.34;1.8;0.045;96;170;0.99035;3.38;0.9;11.8;8
6.8;0.17;0.36;1.4;0.036;38;108;0.99006;3.19;0.66;12;6
7.1;0.43;0.3;6.6;0.025;15;138;0.99126;3.18;0.46;12.6;6
5.8;0.315;0.27;1.55;0.026;15;70;0.98994;3.37;0.4;11.9;8
5.9;0.17;0.28;0.7;0.027;5;28;0.98985;3.13;0.32;10.6;5
6.6;0.34;0.18;6.4;0.082;47;240;0.9971;3.42;0.48;9.2;5
8.6;0.33;0.34;11.8;0.059;42;240;0.99882;3.17;0.52;10;6
5.6;0.12;0.26;4.3;0.038;18;97;0.99477;3.36;0.46;9.2;5
5.8;0.13;0.26;5.1;0.039;19;103;0.99478;3.36;0.47;9.3;6
7.7;0.18;0.35;5.8;0.055;25;144;0.99576;3.24;0.54;10.2;6
7.7;0.16;0.36;5.9;0.054;25;148;0.99578;3.25;0.54;10.2;6
6;0.26;0.15;1.3;0.06;51;154;0.99354;3.14;0.51;8.7;5
7.3;0.32;0.35;1.4;0.05;8;163;0.99244;3.24;0.42;10.7;5
7.7;0.3;0.34;1.2;0.048;4;119;0.99084;3.18;0.34;12.1;6
7.9;0.16;0.3;7.4;0.05;58;152;0.99612;3.12;0.37;9.5;6
6.4;0.27;0.29;10.8;0.028;17;118;0.99356;3.18;0.37;11.2;6
6.9;0.16;0.37;1.8;0.034;36;95;0.98952;2.93;0.59;12;6
7.9;0.16;0.3;7.4;0.05;58;152;0.99612;3.12;0.37;9.5;6
7.7;0.3;0.34;1.2;0.048;4;119;0.99084;3.18;0.34;12.1;6
7.3;0.32;0.35;1.4;0.05;8;163;0.99244;3.24;0.42;10.7;5
6.4;0.44;0.44;14.4;0.048;29;228;0.99955;3.26;0.54;8.8;7
6.3;0.2;0.24;1.7;0.052;36;135;0.99374;3.8;0.66;10.8;6
6.2;0.29;0.32;3.6;0.026;39;138;0.9892;3.31;0.37;13.1;7
7.6;0.39;0.32;3.6;0.035;22;93;0.99144;3.08;0.6;12.5;7
7;0.36;0.32;10.05;0.045;37;131;0.99352;3.09;0.33;11.7;8
7;0.36;0.32;10.05;0.045;37;131;0.99352;3.09;0.33;11.7;8
7;0.36;0.32;10.5;0.045;35;135;0.9935;3.09;0.33;11.6;8
7.6;0.2;0.36;1.9;0.043;24;111;0.99237;3.29;0.54;11.3;6
7.6;0.39;0.32;3.6;0.035;22;93;0.99144;3.08;0.6;12.5;7
6.7;0.2;0.37;1.65;0.025;42;103;0.99022;3.11;0.45;11.4;5
6.2;0.235;0.34;1.9;0.036;4;117;0.99032;3.4;0.44;12.2;5
7.8;0.965;0.6;65.8;0.074;8;160;1.03898;3.39;0.69;11.7;6
7.1;0.2;0.31;6.85;0.053;32;211;0.99587;3.31;0.59;10.4;6
7.1;0.2;0.31;7.4;0.053;32;211;0.99587;3.31;0.59;10.4;6
7.1;0.2;0.31;7.4;0.053;32;211;0.99587;3.31;0.59;10.4;6
6.4;0.24;0.25;20.2;0.083;35;157;0.99976;3.17;0.5;9.1;5
8;0.3;0.36;11;0.034;8;70;0.99354;3.05;0.41;12.2;6
6.4;0.24;0.25;20.2;0.083;35;157;0.99976;3.17;0.5;9.1;5
6.9;0.4;0.42;6.2;0.066;41;176;0.99552;3.12;0.54;9.4;5
6.9;0.4;0.43;6.2;0.065;42;178;0.99552;3.11;0.53;9.4;5
7.1;0.2;0.31;6.85;0.053;32;211;0.99587;3.31;0.59;10.4;6
6.6;0.25;0.51;8;0.047;61;189;0.99604;3.22;0.49;9.2;5
6.8;0.26;0.44;8.2;0.046;52;183;0.99584;3.2;0.51;9.4;5
6.5;0.37;0.3;2.2;0.033;39;107;0.98894;3.22;0.53;13.5;7
6.8;0.35;0.53;10.1;0.053;37;151;0.9963;3.07;0.4;9.4;5
6.4;0.22;0.32;7.2;0.028;15;83;0.993;3.13;0.55;10.9;8
